"CARDID","LINEID","BEGINTIME","ENDTIME","STATIONFROM","STATIONTO","BUSID"
"E2873ED00F990DBCC31D58DFDDA0591C","00658","20140401164400","20140401171858","23","14","00013532"
"719F82BD766F3A0DF75BCC95BA23CBB8","00658","20000000000000","20140401171859","0","14","00013532"
"F937F1FDE6DF4071747F73EF608CD0D6","00658","20140401170500","20140401172158","16","13","00013532"
"5683885BFAE9DEEAC601F610F1EE5671","00658","20140401171900","20140401172337","14","10","00013532"
"C89E399C19457FB7606CD42E259FAEB5","00658","20140401173300","20140401174606","9","4","00013532"
"3F996315CE3EA9E346E50912C9E2E59A","00658","20140401162000","20140401162727","31","30","00013532"
"1B9FA11F85412CD258C652FB0508435B","00658","20140401162000","20140401162919","31","29","00013532"
"5EB67D0EAC646254CBE718C94BECCF67","00658","20140401162800","20140401162928","30","29","00013532"
"08AC65B6CD2635B0DB301A0AD75F9695","00658","20140401161700","20140401163040","34","28","00013532"
"0F6893775285CDACC8363AD6F532D5CD","00658","20140401163200","20140401163706","28","25","00013532"
"3985EFF029825F04E560CB7482EF0CE1","00658","20140401163200","20140401163709","28","25","00013532"
"80341AE315684A5762CC37D2266B0605","00658","20140401163500","20140401164012","25","24","00013532"
"3E989CAE5C0243120135A2FEB91068E3","00658","20140401163200","20140401164114","28","24","00013532"
"3FAAE629DC1D4F07FAD3DE937F382E42","00658","20140401163500","20140401164118","25","24","00013532"
"A6325566FD82AF231B0311E39118C7AA","00658","20140401163500","20140401164119","25","24","00013532"
"48A97A3A4E9FAFF83A8C7F8D638544D2","00658","20140401162000","20140401164321","31","23","00013532"
"A0863F944EB731069EA3E9C7B0CCFE82","00658","20140401161700","20140401164417","34","23","00013532"
"4D10FE57453A82391CCEF125CC30218A","00658","20140401162000","20140401164933","31","21","00013532"
"875ABDB83509DDB65640C7D064C7E2ED","00658","20140401170500","20140401172837","16","10","00013532"
"A6F9EE996E255FBEFDA0FEA198A1F868","00658","20140401163900","20140401172918","24","10","00013532"
"446E4AC0E8994060BE5777EFFD1ABC4A","00658","20140401171900","20140401172920","14","10","00013532"
"41E6F184078889FE0706D61FCF67A4EB","00658","20140401171300","20140401172932","15","10","00013532"
"ED75B7D2BE767C6841C6ECC3E45CCD65","00658","20140401165700","20140401173005","19","10","00013532"
"45B704E22B640DD2B15C17A465662B91","00658","20140401171300","20140401173006","15","10","00013532"
"99AF749484DBCE6D5F7BFB891DCA759E","00658","20140401171900","20140401173007","14","10","00013532"
"238AB813F00371C24F7E1174DC565069","00658","20140401171300","20140401173008","15","10","00013532"
"B4F07572303FBFCA1AFA87FA99D214E6","00658","20140401171300","20140401173010","15","10","00013532"
"BE1604FC90F572D8802E52E6BBEBA9C6","00658","20140401172200","20140401173020","13","9","00013532"
"20830ED03F06839F356E2C298ACC0B62","00658","20140401171900","20140401173028","14","9","00013532"
"06DF5C36C158D290072C3C579BEB946C","00658","20140401171900","20140401173032","14","9","00013532"
"D256E845FCF2FBDE810FB9305B322D1C","00658","20140401171300","20140401173050","15","9","00013532"
"2AA231E9A1F54722AB215994624E471C","00658","20140401162700","20140401173110","30","9","00013532"
"610EBDB41C342131A9BBF8F493AB3293","00658","20140401170800","20140401173215","15","9","00013532"
"7B1683A0F5A551FDBC80CA6618650CE1","00658","20140401171300","20140401173218","15","9","00013532"
"BB2A2D88565630F855C793B2890AA1F7","00658","20140401171900","20140401173309","14","9","00013532"
"748779722307226D2FC86A363B4044A8","00658","20140401171800","20140401173310","14","9","00013532"
"31E2115FEACA362F331AB54C6F0F8392","00658","20140401163200","20140401173312","28","9","00013532"
"6FD186DC5D6809DB51E1EBB70D975901","00658","20140401170500","20140401173316","16","9","00013532"
"61CF92A5B9F121A7B864E55C7A301704","00658","20140401171800","20140401173318","14","9","00013532"
"353AB853041FAD96179D8ED9ED112348","00658","20140401173300","20140401173329","9","9","00013532"
"AF691AD1C92560F582978273A2C5B4EB","10945","20140401175200","20140401180546","45","42","00051035"
"A42F30B2FDD2B312BC7B751D0075290C","10945","20140401180600","20140401180900","42","41","00051035"
"813698A36C8291A84EA9A444F4BC7CB3","10945","20140401180600","20140401180918","42","41","00051035"
"EC1363CBB2128DD77028EEC996FE6CCA","10945","20140401180600","20140401180919","42","41","00051035"
"317D3391CBD0E902B74DA266C9D5AD4A","10945","20140401175300","20140401181441","45","38","00051035"
"AAD98F077357D1A636BDB85C8422BC7F","10945","20140401180200","20140401181454","43","38","00051035"
"8D9E9390223396891FDA7BF4A3B0479F","10945","20140401175300","20140401181547","45","38","00051035"
"5DA605BD065D5CB70C10DB3A36063850","10945","20140401175200","20140401181549","45","38","00051035"
"91654DFE48E2E64DB42965B5D7124C0A","10945","20140401175200","20140401181551","45","38","00051035"
"76E37E46F914456B968AEF7B79C387D7","00839","20140401174100","20140401175453","24","29","00022069"
"0FB28AFFD982AA37595E2CA8FB213521","10945","20140401124000","20140401125331","27","32","00051035"
"AC5312F598F32BD06FF2F40B3A4131C8","10945","20140401124300","20140401131822","28","43","00051035"
"1F1F8E1F06C7E733F3E0B87C35741076","10945","20140401131700","20140401132500","42","44","00051035"
"03082091128F6385C8A24245EE3DBF95","10945","20140401123300","20140401132509","24","44","00051035"
"2CAC1081576228BB97A31D41D5B512E0","10945","20140401123300","20140401132511","24","44","00051035"
"6DFB02689F8DB547C24CA389A641B161","10945","20140401131700","20140401132514","42","44","00051035"
